key,affiliation,uni?
homepages/s/HaraldSack,"University of Jena, Germany",True
homepages/s/HaraldSack,"University of Trier, Germany",True
homepages/s/JorgRJSchirra,"Otto von Guericke University of Magdeburg, Germany",True
homepages/s/MarcStamminger,"University of Erlangen-Nuremberg, Germany",True
homepages/s/ChristianSchindelhauer,"University of Freiburg, Department of Computer Science, Germany",True
homepages/s/DietmarSeipel,"University of Würzburg, Germany",True
homepages/s/HinrichSchutze,"Ludwig Maximilian University of Munich, Center for Information and Language Processing, Germany",True
homepages/s/HinrichSchutze,"University of Stuttgart, Institute for Natural Language Processing, Germany",True
homepages/s/KlausSchneider1,"University of Kaiserslautern, Department of Computer Science, Germany",True
homepages/s/ChristophScholl,"University of Freiburg, Germany",True
homepages/s/KaiUweSattler,"Technische Universität Ilmenau, Germany",True
homepages/s/WolframSchiffmann,"University of Hagen, Germany",True
homepages/s/MichaelSonnenschein,"University of Oldenburg, Germany",True
homepages/s/BjornSchnizler,"Karlsruhe Institute of Technology, Germany",True
homepages/38/5697,"University of Erlangen-Nuremberg, Germany",True
homepages/38/5499,"Karlsruhe Institute of Technology, H2T, Germany",True
homepages/38/10085,"Heidelberg University, Computer Vision Group, Germany",True
homepages/38/4335-4,"University of Bonn, Institute for Computer Science, Germany",True
homepages/38/4335-2,"University of Duisburg-Essen, Lehrstuhl für Mechanik und Robotik, Germany",True
homepages/38/4335-2,"Chemnitz University of Technology, Germany",True
homepages/38/842,"University of Ulm, Germany",True
homepages/38/2620,"Friedrich Schiller University of Jena, Germany",True
homepages/38/9444,"Otto von Guericke University Magdeburg, Faculty of Computer Science, Germany",True
homepages/38/738,"University of Rostock, Germany",True
homepages/38/1046,"University of Kassel, Germany",True
homepages/38/7003,"University of Tübingen, Wilhelm Schickard Institute for Computer Sciences, Germany",True
homepages/38/5700,"Leibniz Universität Hannover, Germany",True
homepages/38/4801,"Johannes Gutenberg University Mainz, Germany",True
homepages/38/6829,"University of Bremen, Germany",True
homepages/38/1215,"Saarland University, Saarbrücken, Germany",True
homepages/135/4956,"Albert-Ludwigs-University, Freiburg, Germany",True
homepages/135/5777,"Heidelberg University, Germany",True
homepages/135/6724,"University of Konstanz, Germany",True
homepages/67/9675,"University of Passau, Faculty of Computer Science and Mathematics, Germany",True
homepages/67/3271,"Heinrich Heine University of Düsseldorf, Computer Science Department, Germany",True
homepages/67/1543,"University of Stuttgart, Stuttgart, Germany",True
homepages/67/7965,"University of Duisburg-Essen, INKO, Germany",True
homepages/67/8426,"Humboldt-Universität zu Berlin, Germany",True
homepages/67/6899,"University of Osnabrück, Germany",True
homepages/67/769,"Karlsruhe Institute of Technology, Germany",True
homepages/67/8577,"TH Köln (University of Applied Sciences), Germany",True
homepages/67/1479,"University of Kassel, Germany",True
homepages/67/1254-4,"Charité, Clinic for Oral and Maxillofacial Surgery, Berlin, Germany",True
homepages/67/6766-1,"LMU Munich, Institute for Computer Science, Germany",True
homepages/67/10334,"Karlsruhe Institute of Technology, Germany",True
homepages/67/2210,"University of Koblenz-Landau, Germany",True
homepages/67/11099,"Technische Universität Chemnitz, Physics of Cognition Group, Germany",True
homepages/67/11099,"Philipps-University Marburg, Department of Neurophysics, Germany",True
homepages/199/7732,"Karlsruhe Institute of Technology, AIFB, Germany",True
homepages/z/RZicari,"Goethe University of Frankfurt, Germany",True
homepages/z/HorstZuse,"Technical University of Berlin, Department of Mathematics, Germany",True
homepages/z/YuZhiwen,"Mannheim University, Germany",True
homepages/z/JohannesMariaZaha,"University of Duisburg-Essen, Germany",True
homepages/z/UZukowski,"University of Passau, Germany",True
homepages/z/GabrielZachmann,"University of Bremen, Germany",True
homepages/z/GabrielZachmann,"Clausthal University of Technology, Germany",True
homepages/z/GabrielZachmann,"University of Bonn, Germany",True
homepages/z/AndreasZeller,"Saarland University, Saarbrücken, Germany",True
homepages/z/JianweiZhang1,"University of Hamburg, Department of Informatics, Germany",True
homepages/z/JianweiZhang1,"University of Bielefeld, Technical Faculty, Germany",True
homepages/z/JianweiZhang1,"University of Karlsruhe, Germany",True
homepages/z/DZobel,"University of Koblenz and Landau, Germany",True
homepages/z/AlbrechtZimmermann,"University of Freiburg, Germany",True
homepages/07/4567,"University of Hagen, Germany",True
homepages/07/8423,"TU Braunschweig, Germany",True
homepages/07/3473,"TU Ilmenau, Department of Computer Science, Germany",True
homepages/07/239,"Technical University Munich, Germany",True
homepages/07/1317,"Universität Koblenz-Landau, Germany",True
homepages/07/1263,"Karlsruhe Institute of Technology, Germany",True
homepages/07/1263-2,"Otto-von-Guericke University Magdeburg, Germany",True
homepages/85/443,"TU Munich, Department of Informatics, Germany",True
homepages/85/5754,"University of Mannheim, Germany",True
homepages/85/207,"University of Mainz, Germany",True
homepages/85/782,"TU Dresden, Germany",True
homepages/85/7634-1,"Saarland University, Spoken Language Systems, Saarbrücken, Germany",True
homepages/85/5569-1,"University of Erlangen-Nuremberg, Germany",True
homepages/85/95,"University of Mainz, Germany",True
homepages/85/72,"University of Mainz, Germany",True
homepages/85/6201,"Darmstadt University of Technology, Ubiquitous Knowledge Processing Lab, Germany",True
homepages/85/6698,"University of Hamburg, Germany",True
homepages/153/2113,"Universität Hannover, Germany",True
homepages/153/1413,"University of Duisburg-Essen, Duisburg, Germany",True
homepages/153/7553,"TU München, Germany",True
homepages/g/NGovert,"Technical University of Dortmund, Germany",True
homepages/g/GuntherGorz,"University of Erlangen-Nuremberg, Germany",True
homepages/g/JurgenGiesl,"RWTH Aachen University, Germany",True
homepages/g/VolkerGruhn,"Universität Duisburg-Essen, Germany",True
homepages/g/VolkerGruhn,"Leipzig University, Germany",True
homepages/g/PeterGemmar,"Trier University of Applied Sciences, Germany",True
homepages/g/JensGrabowski,"University of Göttingen, Germany",True
homepages/g/ThomasGross,"Ruhr-University Bochum, Germany",True
homepages/g/MichaelGertz,"University of Heidelberg, Institute of Computer Science, Germany",True
homepages/g/HelmarGust,"University of Osnabrück, Germany",True
homepages/g/MGrohe,"RWTH Aachen University, Germany",True
homepages/g/MartinGogolla,"University of Bremen, Germany",True
homepages/g/JiongGuo,"University of Tübingen, Germany",True
homepages/g/UrsulaGoltz,"Braunschweig University of Technology, Germany",True
homepages/g/RaffaellaGentilini,"Kaiserslautern University of Technology, Germany",True
homepages/g/SvenGroppe,"University of Lübeck, Germany",True
homepages/g/KurtGeihs,"University of Kassel, Germany",True
homepages/121/1109,"University of Applied Sciences Ingolstadt, Germany",True
homepages/121/4930,"TU Munich, Department of Informatics, Germany",True
homepages/121/4930,"Ruhr-University Bochum, Department of Electrical Engineering and Information Technology, Germany",True
homepages/121/4930,"Ruhr-University Bochum, Horst Görtz Institute for IT-Security, Germany",True
homepages/51/552,"Saarland University, Germany",True
homepages/51/4711,"Chemnitz University of Technology, Department of Electrical Engineering and Information Technology, Germany",True
homepages/51/1429,"Brandenburg Universty of Technology, Database and Information Systems Group, Cottbus, Germany",True
homepages/51/2802-4,"University of Hamburg, Germany",True
homepages/51/8821,"Humboldt University of Berlin, Department of Computer Science, Germany",True
homepages/51/8429,"Karlsruhe Institute of Technology, TECO research group, Germany",True
homepages/51/8434,"Technical University Munich, Germany",True
homepages/51/508,"University of Applied Sciences for Telecommunications Leipzig, Germany",True
homepages/51/3723,"University of Würzburg, Germany",True
homepages/51/1629-7,"Technical University Munich, Germany",True
homepages/51/11204,"Goethe University of Frankfurt, Germany",True
homepages/51/11204,"University of Trier, Germany",True
homepages/51/3949,"Dresden University of Technology, Germany",True
homepages/51/7856,"TU Dortmund University, Germany",True
homepages/k/StefanKirn,"University of Hohenheim, Germany",True
homepages/k/ChristophKreitz,"University of Potsdam, Germany",True
homepages/k/BKonigRies,"University of Jena, Germany",True
homepages/k/HKleineBuning,"University of Paderborn, Germany",True
homepages/k/JHKreowski,"University of Bremen, Germany",True
homepages/k/MKohlhase,"Friedrich-Alexander-Universität Erlangen-Nürnberg, Germany",True
homepages/k/MKohlhase,"Jacobs University gGmbh, Bremen, Germany",True
homepages/k/MarekKarpinski,"University of Bonn, Germany",True
homepages/k/AlexanderKroeller,"Braunschweig University of Technology, Germany",True
homepages/k/PeerKroger,"Ludwig Maximilian University of Munich, Germany",True
homepages/k/PhilippKarger,"L3S Research Center, Hanover, Germany",True
homepages/k/WKiessling,"University of Augsburg, Germany",True
homepages/k/HerbertKlaeren,"University of Tübingen, Germany",True
homepages/k/RichardKuntschke,"Technical University Munich, Germany",True
homepages/k/GudrunKlinker,"Technical University Munich, Germany",True
homepages/k/BerndKriegBruckner,"University of Bremen, Germany",True
homepages/k/PeterKunath,"Ludwig Maximilian University of Munich, Germany",True
homepages/k/ClausPeterKlas,"University of Hagen, Germany",True
homepages/k/DirkKukulenz,"University of Lübeck, Germany",True
homepages/k/RalfKoetter,"Technical University Munich, Germany",True
homepages/k/FranziskaKlugl,"University of Würzburg, Germany",True
homepages/k/RonKikinis,"University of Bremen, Germany",True
homepages/k/DanielAKeim,"University of Konstanz, Germany",True
homepages/k/GabrieleKernIsberner,"Technical University of Dortmund, Germany",True
homepages/k/HansPeterKriegel,"Ludwig Maximilian University of Munich, Germany",True
homepages/k/RKusters,"University of Stuttgart, Germany",True
homepages/k/RKusters,"University of Trier, Department of Computer Science, Germany",True
homepages/k/VeraKamp,"University of Oldenburg, Germany",True
homepages/k/ReinhardKeilSlawik,"University of Paderborn, Germany",True
homepages/k/LeifKobbelt,"RWTH Aachen University, Germany",True
homepages/k/BirgerKollmeier,"University of Oldenburg, Germany",True
homepages/k/MichaelKrause,"Ludwig Maximilian University of Munich, Germany",True
homepages/k/CornelKlein,"Technical University Munich, Germany",True
homepages/k/ThomasKirsche,"University of Erlangen-Nuremberg, Germany",True
homepages/k/AlexanderKurz2,"Technical University of Munich, Klinik und Poliklinik fur Psychiatrie und Psychotherapie, Germany",True
homepages/k/StefanKramer1,"Johannes Gutenberg University Mainz, Institute of Computer Science, Germany",True
homepages/k/HaraldKosch,"University of Passau, Germany",True
homepages/k/EvaKlien,"University of Münster, Germany",True
homepages/k/RalfKlamma,"RWTH Aachen University, Germany",True
homepages/k/ThomasHKolbe,"Technical University Munich, Germany",True
homepages/k/EckhardKruse,"Braunschweig University of Technology, Germany",True
homepages/k/AloisKnoll,"Technical University Munich, Germany",True
homepages/k/JoostPieterKatoen,"RWTH Aachen University, Germany",True
homepages/k/StephanKreutzer,"Technische Universität Berlin, Germany",True
homepages/k/ArjanKuijper,"TU Darmstadt, Department of Computer Science, Germany",True
homepages/k/TorstenKuhlen,"RWTH Aachen University, Visual Computing Institute, Germany",True
homepages/k/GKostler,"University of Augsburg, Germany",True
homepages/k/HelmutKrcmar,"Technical University of Munich, Germany",True
homepages/k/WKuchlin,"University of Tübingen, Germany",True
homepages/k/StefanKlink,"Karlsruhe Institute of Technology, Germany",True
homepages/k/StefanKlink,"University of Trier, Germany",True
homepages/39/6057,"University of Duisburg-Essen, Germany",True
homepages/39/6977,"University of Bielefeld, Department of Physiological Psychology, Germany",True
homepages/39/4064,"University of Mannheim, Germany",True
homepages/39/4042,"University of Duisburg-Essen, Germany",True
homepages/39/189,"University of Stuttgart, Germany",True
homepages/39/3706,"University of Bonn, Germany",True
homepages/39/5627,"University of Ulm, Germany",True
homepages/39/3861-7,"Karlsruhe Institute of Technology, Germany",True
homepages/39/3349,"University of Kiel, Department of Computer Science, Germany",True
homepages/39/5038,"University of Bremen, Germany",True
homepages/39/985,"University of Tübingen, Germany",True
homepages/86/4099-3,"Karlsruhe Institute of Technology, Department of Sport and Sport Science (ifSS), Germany",True
homepages/86/2890,"Technical University Munich, Germany",True
homepages/86/4099-4,"Technical University of Dresden, Institute for Numerical Mathematics, Germany",True
homepages/86/4099-4,"University of Dortmund, Germany",True
homepages/86/716,"Department of Philosophy, University of Duesseldorf, Germany",True
homepages/86/2975,"Heidelberg University, University Medical Center Mannheim, Germany",True
homepages/86/6537-1,"Technische Universität Ilmenau, Germany",True
homepages/86/6499,"Ruhr University Bochum, Germany",True
homepages/86/489-1,"TU Munich, Faculty of Computer Science, Germany",True
homepages/86/489-1,"fortiss GmbH, Munich, Germany",True
homepages/86/3713,"University of Bonn, Germany",True
homepages/27/1029,"Humboldt University of Berlin, Germany",True
homepages/27/2596,"Ludwig Maximilian University of Munich, Germany",True
homepages/27/10057,"Friedrich Alexander University of Erlangen-Nuremberg, Pattern Recognition Lab, Erlangen, Germany",True
homepages/27/5714,"Technical University Munich, Germany",True
homepages/27/180,"University of Stuttgart, Germany",True
homepages/27/3189,"University of Erlangen-Nuremberg, Germany",True
homepages/27/4179,"Ludwig Maximilian University of Munich, Germany",True
homepages/27/2452,"Humboldt University of Berlin, Department of Computer Science, Germany",True
homepages/27/2452,"Clausthal University of Technology, Department of Informatics, Germany",True
homepages/27/3809-1,"University of Lübeck, Germany",True
homepages/78/2835,"TU Munich, Germany",True
homepages/78/6159,"Saarland University, Saarbrücken, Germany",True
homepages/78/1502,"University of Tübingen, Bernstein Center for Computational Neuroscience, Germany",True
homepages/78/80,"Folkwang University of Arts, Essen, Germany",True
homepages/78/11261,"Technical University of Munich, Germany",True
homepages/78/11261,"Friedrich Schiller University of Jena, Germany",True
homepages/78/4433,"University of Jena, Germany",True
homepages/78/4905-1,"University of Kiel, Germany",True
homepages/78/701,"University of Osnabrück, Germany",True
homepages/78/3405,"University of Stuttgart, Germany",True
homepages/46/3776,"RWTH Aachen University, Germany",True
homepages/46/1632,"University of Tübingen, Germany",True
homepages/46/950-1,"Siemens Corporate Technology, Munich, Germany",True
homepages/46/950-1,"TU Dresden, Germany",True
homepages/46/6420,"Karlsruhe Institute of Technology, Germany",True
homepages/46/4046,"University of Stuttgart, Institute for Natural Language Processing, Germany",True
homepages/46/4046,"University of Mannheim, Germany",True
homepages/46/7963,"University of Jena, Germany",True
homepages/46/1264,"University of Würzburg, Institute for Computer Science, Germany",True
homepages/46/1264,"University of Augsburg, Organic Computing, Germany",True
homepages/49/4538,"FernUniversitát in Hagen, Department of Mathematics and Computer Science, Germany",True
homepages/49/6129,"Ruhr University Bochum, Germany",True
homepages/49/2722-2,"University of Würzburg, Department of Robotics and Telematics, Germany",True
homepages/49/6091,"University of Kaiserslautern, Germany",True
homepages/49/6233-1,"Karlsruher Institut für Technologie, Germany",True
homepages/49/4583,"Universität Augsburg, Germany",True
homepages/49/225-7,"Technical University Munich, Institute of Robotics and Embedded Systems, Germany",True
homepages/49/1459,"Albstadt-Sigmaringen University of Applied Sciences, Albstadt, Germany",True
homepages/49/2647-2,"Ludwig Maximilians University Munich, Germany",True
homepages/49/389,"Technical University of Munich, Germany",True
homepages/49/3136-7,"University of Leipzig, AKSW Research Group, Germany",True
homepages/49/5258,"University of Münster, Germany",True
homepages/49/225-3,"TU Dresden, Faculty of Computer Science, Germany",True
homepages/49/728,"University of Duisburg-Essen, Germany",True
homepages/189/9113,"Universität Bremen, Germany",True
homepages/195/6354,"Friedrich Schiller University Jena, Germany",True
homepages/12/3752,"Bielefeld University, Germany",True
homepages/12/5104,"University of Rostock, Electrical Engineering, Germany",True
homepages/12/5979,"Osnabrück University, Germany",True
homepages/12/5146,"University of Applied Sciences Ravensburg-Weingarten, Germany",True
homepages/12/6082,"University of Wuppertal, School of Electrical, Information and Media Engineering, Germany",True
homepages/12/6082,"University of Konstanz, Department of Computer and Information Science, Germany",True
homepages/12/6082,"Otto von Guericke University of Magdeburg, Germany",True
homepages/12/7010-2,"Bielefeld University, Computer Graphics & Geometry Processing Group, Germany",True
homepages/12/1198-2,"Hamburg University, Germany",True
homepages/12/3724,"Humboldt University of Berlin, Germany",True
homepages/12/6098,"Kaiserslautern University of Technology, Germany",True
homepages/12/10591,"BMW Group, Munich, Germany",True
homepages/12/10591,"Ludwig Maximilian University of Munich, Germany",True
homepages/12/4880,"University of Konstanz, Department of Computer Science, Germany",True
homepages/12/8242,"University of Würzburg, Germany",True
homepages/30/5956-2,"University of Ulm, Germany",True
homepages/30/5647,"TU Dresden, Germany",True
homepages/30/4810,"Technical University Munich, Germany",True
homepages/30/1815,"Technical University Munich, Germany",True
homepages/30/399-2,"Heidelberg University, Interdisciplinary Center for Scientific Computing, Germany",True
homepages/30/3504,"University of Jena, Germany",True
homepages/30/6722,"TU Darmstadt, Germany",True
homepages/30/6098,"University of Bamberg, Germany",True
homepages/30/1143,"University of Bremen, Department of Mathematics & Computer Science, Germany",True
homepages/30/1143,"Saarland University, Reactive Systems Group, Saarbrücken, Germany",True
homepages/30/1143,"University of Dortmund, Department of Computer Science, Germany",True
homepages/30/6097-1,"Oldenburg University, Germany",True
homepages/30/1288,"University of Erlangen-Nuremberg, Germany",True
homepages/v/BirgitVogelHeuser,"Technical University Munich, Germany",True
homepages/v/JanVahrenhold,"Westfälische Wilhelms-Universität Münster, Germany",True
homepages/v/JanVahrenhold,"Technical University of Dortmund, Germany",True
homepages/v/IasonVittorias,"Technical University Munich, Germany",True
homepages/v/HeikoVogler,"Dresden University of Technology, Germany",True
homepages/v/GottfriedVossen,"University of Münster, Germany",True
homepages/v/AVoisard,"Free University of Berlin, Germany",True
homepages/v/MarcoVolpe,"fortiss Research Institute, Munich, Germany",True
homepages/v/HeribertVollmer,"Universität Hannover, Germany",True
homepages/v/BertholdVocking,"RWTH Aachen University, Germany",True
homepages/v/CVielhauer,"Otto von Guericke University of Magdeburg, Germany",True
homepages/11/8434,"University of Augsburg, Germany",True
homepages/11/580,"University of Stuttgart, Institute for Natural Language Processing, Germany",True
homepages/11/580,"Saarland University, Computational Linguistics and Psycholinguistics, Saarbrücken, Germany",True
homepages/11/103,"RWTH Aachen University, Germany",True
homepages/11/751-9,"Bielefeld University, Faculty of Technology, Applied Computer Science Group, Germany",True
homepages/11/4107,"Chemnitz University of Technology, Germany",True
homepages/11/10006,"Technical University of Munich, Department of Informatics, Computer Vision Group, Munich, Germany",True
homepages/11/3773-2,"Saarland University, Saarbrücken, Germany",True
homepages/11/1946-1,"Technische Universität Darmstadt, Germany",True
homepages/11/4098,"Heidelberg University, Interdisciplinary Center for Scientific Computing, Germany",True
homepages/11/2398,"University of Cologne, Faculty of Medicine, Germany",True
homepages/11/6370,"Heidelberg University, Germany",True
homepages/66/9735,"University of Applied Sciences Mittweida, Mittweida, Germany",True
homepages/66/5251,"Technical University Munich, Germany",True
homepages/66/4415,"RWTH Aachen University, Germany",True
homepages/66/3387-17,"Heidelberg University, Institute of Computer Science, Germany",True
homepages/66/5127,"University of Duisburg-Essen, Germany",True
homepages/66/4852-1,"University of Hamburg, Germany",True
homepages/66/4576,"University of Rostock, Germany",True
homepages/56/5896,"Technische Universität Dortmund, Germany",True
homepages/56/4149,"University of Kiel, Department of Computer Science, Germany",True
homepages/56/2981,"Technical University Munich, Germany",True
homepages/56/587,"University of Mannheim, Germany",True
homepages/56/6381,"Saarland University, Saarbrücken, Germany",True
homepages/56/6430,"Hochschule der Medien, Stuttgart, Germany",True
homepages/56/11205,"University of Trier, Germany",True
homepages/56/1568,"Ostfalia University of Applied Sciences, Wolfenbuettel, Germany",True
homepages/56/7514,"University of Bonn, Germany",True
homepages/56/1569,"Goethe University, Institute of Computer Science, Frankfurt am Main, Germany",True
homepages/56/3960,"Dresden University of Technology, Germany",True
homepages/56/299,"RWTH Aachen University, Germany",True
homepages/56/4191-2,"Hochschule Koblenz, Germany",True
homepages/56/4191-2,"Technische Universität Chemnitz-Zwickau, Germany",True
homepages/93/7184,"University of Bonn, Institute of Computer Science, Germany",True
homepages/93/8025,"RWTH Aachen University, Germany",True
homepages/93/1672,"University of Erlangen-Nuremberg, Programming Systems Group, Germany",True
homepages/93/1672,"University of Karlsruhe, Institute for Program Structures and Data Organization, Germany",True
homepages/93/3178,"Bielefeld University, CITEC, Germany",True
homepages/93/8487,"Technical University Munich, Germany",True
homepages/93/2424,"University of Lübeck, Germany",True
homepages/93/7158,"TU Darmstadt, Germany",True
homepages/93/4866,"University of Heidelberg, Germany",True
homepages/93/151,"University of Stuttgart, Germany",True
homepages/48/2739-1,"Albert-Ludwigs-Universität Freiburg, Germany",True
homepages/48/2947-1,"Munich University of Technology, Institute for Circuit Theory and Signal Processing, Germany",True
homepages/48/415,"Dresden University of Technology, Germany",True
homepages/48/4792-1,"University of Göttingen, Institute of Computer Science, Germany",True
homepages/48/1131-1,"Stuttgart Media University, Germany",True
homepages/48/1131-1,"University of Wuppertal, Germany",True
homepages/48/4648,"University of Siegen, Germany",True
homepages/48/7183,"TU Dortmund, Germany",True
homepages/48/731,"Bielefeld University, CITEC, Germany",True
homepages/48/7186,"TU Dortmund, Department of Computer Science, Germany",True
homepages/48/7186,"RWTH Aachen University, Department of Computer Science, Germany",True
homepages/48/3591,"University of Stuttgart, Germany",True
homepages/48/3505,"University of Tübingen, Germany",True
homepages/u/DominiqueUnruh,"Karlsruhe Institute of Technology, Germany",True
homepages/u/JohannesUhlmann,"University of Jena, Germany",True
homepages/u/ChristianUrban,"Technical University Munich, Germany",True
homepages/u/DiemoUrbig,"Humboldt University of Berlin, Germany",True
homepages/u/RainerUnland,"University of Duisburg-Essen, Germany",True
homepages/u/TheoUngerer,"University of Augsburg, Germany",True
homepages/26/3015,"University of Bonn, Germany",True
homepages/26/4352-1,"TU Dortmund, Germany",True
homepages/26/7693-1,"TU Dortmund, Department of Computer Science, Germany",True
homepages/26/4817-6,"Humboldt-University, Berlin, Germany",True
homepages/26/4817-6,"FU Berlin, Germany",True
homepages/26/5552-2,"Leibniz Universität Hannover, Germany",True
homepages/26/3377,"University of Freiburg, Germany",True
homepages/26/2673-8,"University of Bonn, Department of Computer Science, Germany",True
homepages/26/1823,"University of Bonn, Institute of Computer Science, Germany",True
homepages/26/274,"Humboldt University of Berlin, School of Library and Information Science, Germany",True
homepages/26/274,"L3S Research Center, Hannover, Germany",True
homepages/26/2421,"University of Potsdam, Germany",True
homepages/26/836,"Saarland University, Department of Computer Science, Saarbrücken, Germany",True
homepages/26/836,"University of Freiburg, Department of Computer Science, Germany",True
homepages/22/5420-1,"Stuttgart Media University, Germany",True
homepages/22/3774,"University of Kaiserslautern, Department of Computer Science, Germany",True
homepages/22/3837-1,"University of Mainz, Germany",True
homepages/22/9964,"TU Darmstadt, Department of Computer Science, Germany",True
homepages/22/3314,"Heidelberg University, Interdisciplinary Center for Scientific Computing, Germany",True
homepages/22/2437,"University of Erlangen-Nuremberg, Germany",True
homepages/22/367,"University of Hagen, Germany",True
homepages/22/1606,"University of Erlangen-Nuremberg, Germany",True
homepages/22/8366-2,"Technische Universität München, München, Germany",True
homepages/22/7792,"University of Erlangen-Nuremberg, Germany",True
homepages/22/5510-1,"FernUniversität Hagen, Faculty of Mathematics and Computer Science, Germany",True
homepages/22/3976,"Saarland University, Germany",True
homepages/22/1965-6,"University of Kaiserslautern, Robotics Research Lab, Germany",True
homepages/22/2697-2,"University of Kaiserslautern, Germany",True
homepages/202/3078,"Technische Universität Dresden, Germany",True
homepages/120/5577,"Ilmenau University, Germany",True
homepages/168/1232,"University of Freiburg, Department of Computer Science, Germany",True
homepages/180/8584,"TU Munich, Germany",True
homepages/159/1133-1,"Saarland University, Department of Computer Science, Saarbrücken, Germany",True
homepages/159/7821-19,"Technische Universität Ilmenau, Germany",True
homepages/159/8627,"University of Bonn, Germany",True
homepages/159/8627,"Leipzig University, Institute of Computer Science, Germany",True
homepages/37/717-1,"University of Bremen, Department of Computer Science, Germany",True
homepages/37/5185,"University Hospital Regensburg, Institute for Clinical Chemistry and Laboratory Medicine, Germany",True
homepages/37/6116-2,"Ludwig Maximilian University of Munich, Germany",True
homepages/37/2806-1,"TU Darmstadt, Germany",True
homepages/37/5353,"Georg August University of Göttingen, Department for Computational Neuroscience, Germany",True
homepages/37/6859,"University of Rostock, Electrical Engineering, Germany",True
homepages/37/10443,"Technical University of Munich, Germany",True
homepages/37/6116-1,"Siemens Corporate Technology, Munich, Germany",True
homepages/37/6116-1,"Technical University Munich, Germany",True
homepages/37/3890,"University of Bremen, Cognitive Systems Lab (CSL), Germany",True
homepages/37/3890,"University of Karlsruhe, Cognitive Systems Lab (CSL), Germany",True
homepages/37/5849,"Technical University of Berlin, Department of Mathematics, Germany",True
homepages/37/6955,"Bielefeld University, Germany",True
homepages/37/2716,"Ludwig Maximilian University of Munich, Germany",True
homepages/37/3547,"Ludwig Maximilian University of Munich, Germany",True
homepages/37/1581,"RWTH Aachen University, Germany",True
homepages/16/5673,"University of Stuttgart, Germany",True
homepages/16/6015,"University of Paderborn, Heinz Nixdorf Institute, Germany",True
homepages/16/5240,"Dresden University of Technology, Germany",True
homepages/16/6942,"University of Mainz, Germany",True
homepages/16/5876-1,"Martin Luther University of Halle-Wittenberg, Germany",True
homepages/16/9231,"TU Chemnitz, Media Computing, Germany",True
homepages/16/9231,"Free University of Berlin, Department of Literary Studies, Germany",True
homepages/16/9231,"Dresden University of Technology, Germany",True
homepages/16/9542,"University of Hannover, Germany",True
homepages/16/1370,"University of Duisburg-Essen, Germany",True
homepages/16/6112,"University of Bonn, Germany",True
homepages/16/1569-2,"University of Karlsruhe, Germany",True
homepages/16/9167-2,"Bundeswehr University Munich, Germany",True
homepages/169/5212,"University of Stuttgart, Germany",True
homepages/y/KaiYu,"Siemens AG, Corporate Technology, Munich, Germany",True
homepages/y/KaiYu,"Ludwig Maximilian University of Munich, Germany",True
homepages/y/ShipengYu,"Ludwig Maximilian University of Munich, Germany",True
homepages/227/6072-1,"University of Trier, Germany",True
homepages/160/7794,"University of Siegen, Siegen, NRW, Germany",True
homepages/160/9792,"University of Freiburg, Germany",True
homepages/160/1733,"University of Passau, Media Computer Science, Germany",True
homepages/160/8401,"TU Dresden, Germany",True
homepages/52/6913,"Technical University Munich, Germany",True
homepages/52/4150-3,"University of Stuttgart, Germany",True
homepages/52/1371,"University of Bremen, Department of Computer Science, Germany",True
homepages/52/2397,"Julius Maximilians University of Würzburg, Institute of Human-Computer Interaction, Germany",True
homepages/52/6295,"University of Münster, Germany",True
homepages/52/980,"Braunschweig University of Technology, Germany",True
homepages/52/2246,"University of Bremen, Germany",True
homepages/52/4338,"Technical University of Munich, Germany",True
homepages/d/IngoDahn,"University of Koblenz and Landau, Germany",True
homepages/d/KlausDavid,"University of Kassel, Germany",True
homepages/d/WalterDosch,"University of Lübeck, Germany",True
homepages/d/JDittmann,"Otto von Guericke University of Magdeburg, Germany",True
homepages/d/AndreasDengel,"University of Kaiserslautern, Department of Computer Science, Germany",True
homepages/d/AndreasDengel,"University of Stuttgart, Department of Computer Science, Germany",True
homepages/d/HongHaiDo,"Leipzig University, Germany",True
homepages/d/RudigerDillmann,"Karlsruhe Institute of Technology, Germany",True
homepages/d/JorgDiederich,"University of Hannover, L3S Research Center, Germany",True
homepages/d/PDadam,"University of Ulm, Germany",True
homepages/d/GittaDomik,"University of Paderborn, Germany",True
homepages/d/WDilger,"Chemnitz University of Technology, Germany",True
homepages/d/VolkerDiekert,"University of Stuttgart, Germany",True
homepages/d/JurgenDix,"Clausthal University of Technology, Germany",True
homepages/d/WolfgangDahmen,"RWTH Aachen University, Germany",True
homepages/d/GritDenker,"Braunschweig University of Technology, Germany",True
homepages/173/6356,"Technical University of Munich, Germany",True
homepages/173/2178,"Technische Universität München, Germany",True
homepages/128/0331,"University of Bremen, Germany",True
homepages/128/4640,"Saarland University, Germany",True
homepages/128/0936-1,"University of Potsdam, HPI, Germany",True
homepages/128/5341,"TU Darmstadt, Intelligent Autonomous Systems Lab, Germany",True
homepages/70/11083,"Saarland University, Saarbrücken, Germany",True
homepages/70/1032,"Brunswick University of Technology, Institute for Robotics and Process Control, Germany",True
homepages/70/1032,"Bielefeld University, Research Institute for Cognition and Robotics, Germany",True
homepages/70/553,"University of Cologne, Center for eHumanities, Germany",True
homepages/70/1808,"Hochschule Schmalkalden, Germany",True
