key,affiliation,uni?
homepages/24/5989,"TU Munich, Department of Informatics, Germany",True
homepages/24/2918,"RWTH Aachen University, Germany",True
homepages/24/2942,"Free University of Berlin, Germany",True
homepages/24/2712,"Saarland University, Saarbrücken, Germany",True
homepages/24/3452,"TU Darmstadt, Department of Computer Science, Germany",True
homepages/24/3452,"University of Mannheim, Dept. of Mathematics and Computer Science, Germany",True
homepages/24/1802,"Technical University of Dortmund, Germany",True
homepages/24/3267,"Leipzig University, Germany",True
homepages/24/2339,"University of Lübeck, Germany",True
homepages/24/2155,"Karlsruhe Institute of Technology, Germany",True
homepages/24/3071-5,"University of Bonn, Germany",True
homepages/24/1403-5,"RWTH Aachen University, Germany",True
homepages/250/4448,"Heidelberg University, Heidelberg Collaboratory for Image Processing, IWR, Germany",True
homepages/250/4433,"University of Bonn, Germany",True
homepages/124/2752,"University of Konstanz, Department of Computer and Information Science, Germany",True
homepages/124/0545,"TU Berlin, Germany",True
homepages/a/ElkeAchtert,"Ludwig Maximilian University of Munich, Germany",True
homepages/a/DavidAumuller,"Leipzig University, Germany",True
homepages/a/KlausDieterAlthoff,"University of Hildesheim, Germany",True
homepages/a/KOArras,"University of Freiburg, Germany",True
homepages/a/MAleksy,"University of Mannheim, Germany",True
homepages/a/ErikaAbraham,"RWTH Aachen University, Germany",True
homepages/a/TansuAlpcan,"Technical University of Berlin, Germany",True
homepages/a/JurgenAvenhaus,"Kaiserslautern University of Technology, Germany",True
homepages/a/EAndre,"University of Augsburg, Germany",True
homepages/a/WilMPvanderAalst,"RWTH Aachen University, Chair of Process and Data Science, Germany",True
homepages/a/MarcAlexa,"TU Berlin, Department of Computer Engineering and Microelectronics, Germany",True
homepages/a/HansJurgenAppelrath,"University of Oldenburg, Germany",True
homepages/a/SusanneAlbers,"Technical University Munich, Germany",True
homepages/a/SusanneAlbers,"Saarland University, Saarbrücken, Germany",True
homepages/a/SahinAlbayrak,"Technical University of Berlin, Germany",True
homepages/71/3,"University of Ulm, Germany",True
homepages/71/6673,"University of Bremen, Germany",True
homepages/71/4882,"University of Bonn, Institute for Computer Science, Germany",True
homepages/71/4882,"Leipzig University, Department of Computer Science, Germany",True
homepages/71/3094,"University of Bremen, Institute for Artificial Intelligence, Germany",True
homepages/71/3094,"University of Osnabrück, Germany",True
homepages/71/2503,"Leipzig University, Germany",True
homepages/71/3202-1,"Bielefeld University, Germany",True
homepages/71/4812,"University of Kaiserslautern, Germany",True
homepages/71/5555,"Goethe University Frankfurt, Center for Cognition and Computation, Germany",True
homepages/71/5555,"Technical University Darmstadt, Institute of Psychology, Germany",True
homepages/119/8784,"University of Stuttgart, Germany",True
homepages/119/1600,"Intel Laboratory, Munich, Germany",True
homepages/119/4608,"University of Koblenz and Landau, Germany",True
homepages/182/8483-2,"University of Kaiserslautern, Germany",True
homepages/122/8651-1,"University of Konstanz, Germany",True
homepages/137/5878,"TU Berlin, Germany",True
homepages/19/4109,"TU Ilmenau, Department of Computer Science, Germany",True
homepages/19/7123,"RWTH Aachen University, Germany",True
homepages/19/1694-1,"Hamburg University of Applied Sciences, Media Technology Department, Germany",True
homepages/19/1694-1,"University of Art and Design, Berlin, Germany",True
homepages/19/1694-1,"Stuttgart University, VIS, Germany",True
homepages/19/6220,"Carl von Ossietzky Universität Oldenburg, Germany",True
homepages/19/3622-1,"Saarland University, Saarbrücken, Germany",True
homepages/19/6004,"Johannes Gutenberg University Mainz, Germany",True
homepages/81/5772,"Heidelberg University, Germany",True
homepages/81/8216,"University of Freiburg, Germany",True
homepages/81/8975,"Heidelberg University, Germany",True
homepages/81/5909-2,"Albert-Ludwigs-Universität Freiburg, Germany",True
homepages/81/2401,"Karlsruhe Institute of Technology, Germany",True
homepages/81/1245,"Technical University of Darmstadt, Germany",True
homepages/81/2098-2,"Albert Ludwigs University of Freiburg, Autonomous Intelligent Systems, Germany",True
homepages/81/2098-2,"University of Regensburg, Faculty of Mathematics, Germany",True
homepages/81/3518,"University of Paderborn, Germany",True
homepages/81/614,"University of Duisburg-Essen, Germany",True
homepages/81/2498,"TU Darmstadt, Germany",True
homepages/81/2498,"University of Konstanz, Germany",True
homepages/81/160-1,"Ulm University, Germany",True
homepages/81/3626,"Karlsruhe Institute of Technology, Germany",True
homepages/81/4845,"Bielefeld University, CITEC, Germany",True
homepages/81/5884,"Friedrich Schiller University of Jena, Germany",True
homepages/81/7186,"Kaiserslautern University of Technology, Germany",True
homepages/81/6660,"Bielefeld University, CITEC, Germany",True
homepages/81/2098-1,"Albert Ludwigs University of Freiburg, Computer Architecture, Germany",True
homepages/q/ChristophQuix,"RWTH Aachen University, Germany",True
homepages/188/4887,"Technische Universität Darmstadt, Germany",True
homepages/188/9782,"University of Wuerzburg, Germany",True
homepages/188/5682-2,"Saarland University, Germany",True
homepages/188/2079,"Hasso-Plattner-Institut an der Universität Potsdam, Germany",True
homepages/e/TEymann,"University of Bayreuth, Germany",True
homepages/e/HartmutEhrig,"Technical University of Berlin, Department of Mathematics, Germany",True
homepages/e/ThomasErtl,"University of Stuttgart, Germany",True
homepages/e/HDEhrich,"Braunschweig University of Technology, Germany",True
homepages/e/RobertElsasser,"University of Paderborn, Germany",True
homepages/e/MarcEhrig,"Karlsruhe Institute of Technology, Germany",True
homepages/e/ClaudiaEckert,"TU Munich, Faculty of Computer Science, Germany",True
homepages/e/ClaudiaEckert,"Technical University of Darmstadt, Department of Computer Science, Germany",True
homepages/e/ClaudiaEckert,"University of Bremen, Faculty of Mathematics and Computer Science, Germany",True
homepages/e/CEschenbach,"University of Hamburg, Germany",True
homepages/e/MaximilianEibl,"Technische Universität Chemnitz, Germany",True
homepages/e/UdoErnst,"University of Bremen, Germany",True
homepages/e/NEisinger,"Ludwig Maximilian University of Munich, Germany",True
homepages/75/6544,"Friedrich-Schiller-Universität Jena, Germany",True
homepages/75/588,"Karlsruhe Institute of Technology, TECO research group, Germany",True
homepages/75/3228,"Ludwig-Maximilians-University Munich, Institute of Psychology, Germany",True
homepages/75/425,"Ludwig-Maximilians-Universität München, Germany",True
homepages/75/5285,"Technische Universität Dresden, Germany",True
homepages/41/5344-1,"LMU Munich, Germany",True
homepages/41/2989-1,"University of Rostock, Germany",True
homepages/41/5449,"University of Bonn, Germany",True
homepages/41/6317-2,"University Leipzig, Germany",True
homepages/41/6575,"Technical University Munich, Germany",True
homepages/41/5344-4,"TH Darmstadt, Germany",True
homepages/41/4122,"TU Braunschweig, Wearable Computing Lab, Germany",True
homepages/41/8366,"University of Bonn, Germany",True
homepages/41/586,"Martin Luther University of Halle-Wittenberg, Germany",True
homepages/41/1374,"University of Stuttgart, Germany",True
homepages/41/5344-2,"TU Dresden, Germany",True
homepages/41/5584,"TU Dresden, Computer Networks Group, Germany",True
homepages/41/10942,"Universität Augsburg, Germany",True
homepages/o/EnnoOhlebusch,"University of Ulm, Germany",True
homepages/o/MartinOtto,"TU Darmstadt, Germany",True
homepages/o/JornOstermann,"University of Hanover, Germany",True
homepages/o/KlausObermayer,"Technical University of Berlin, Department of Mathematics, Germany",True
homepages/o/HJOhlbach,"Ludwig Maximilian University of Munich, Germany",True
homepages/o/ThomasOttmann,"University of Freiburg, Germany",True
homepages/20/6444,"Bielefeld University, Germany",True
homepages/20/6822,"University of Konstanz, Department of Computer and Information Science, Germany",True
homepages/20/6426,"University of Bonn, Germany",True
homepages/20/6426,"University of Freiburg, Germany",True
homepages/20/4604,"University of Lübeck, Germany",True
homepages/20/4493,"Martin-Luther-Universität Halle, Institut für Algebra and Geometrie, Germany",True
homepages/20/4493,"Universität Hamburg, FB Informatik, Germany",True
homepages/20/4648,"University of Tübingen, Germany",True
